,Team,No,Name,7mPGoals,7mPMissed,6mCGoals,6mCMissed,WingGoals,WingMissed,BTGoals,BTMissed,FBGoals,FBMissed,FTOGoals,FTOMissed,9mGoals,9mMissed,RC,2M,2+2,AS,R7,ST,BS,P7,TO,Time,scoring,Position,topk,top1
0,SLO,26,Klemen Ferlin,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,356.0,0,GK,0,0
1,HUN,43,Zoran Ilic,0,0,2,0,0,0,0,0,2,0,0,0,3,3,0,3,0,5,0,0,1,0,4,179.0,0,RB,0,0
2,ESP,24,Viran Morros de Argila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,43.0,0,LB,0,0
3,SRB,44,Petar Djordjic,0,0,1,1,0,0,0,1,0,0,0,0,7,7,0,0,0,2,0,0,0,0,4,26.0,0,LB,0,0
4,BIH,36,Vladan Djurdjevic,0,0,0,0,4,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,83.0,0,RW,0,0
5,SWE,33,Lukas Sandell,0,0,5,1,0,0,5,2,4,0,0,0,11,8,0,6,0,17,0,1,1,0,10,246.0,0,RB,0,0
6,NOR,6,Sebastian Hein Barthold,0,0,2,0,5,5,0,0,1,0,1,1,0,0,0,0,0,2,0,1,0,0,1,133.0,0,LW,0,0
7,POR,14,Rui Silva,0,0,3,3,0,0,1,1,1,0,0,0,3,2,0,0,0,19,0,0,0,0,6,141.0,0,CB,0,0
8,ESP,59,Daniel Dujshebaev Dovichebaeva,0,0,1,0,0,0,0,1,2,0,1,0,0,2,0,0,0,5,0,2,2,0,1,92.0,0,LB,0,0
9,ISL,8,Bjarki Mar Elisson,2,2,0,1,9,11,1,0,8,1,1,1,0,0,0,2,0,1,0,1,1,0,5,299.0,0,LW,1,0
10,ROU,12,Dan Lucian Vasile,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,63.0,0,GK,0,0
11,SLO,20,Tilen Kodrin,0,0,1,1,7,3,0,0,3,0,1,2,0,0,0,2,0,1,0,1,0,0,0,291.0,0,LW,0,0
12,FRA,92,Remi Desbonnet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,167.0,0,GK,0,0
13,SWE,13,Sebastian Carl Percy Karlsson,1,1,0,0,11,4,1,0,12,3,0,0,0,1,0,1,0,4,0,1,0,0,3,222.0,0,RW,1,0
14,NED,30,Arjan Versteijnen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,44.0,0,GK,0,0
15,MNE,32,Bozo Andjelic,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,2,23.0,0,CB,0,0
16,FRA,9,Melvyn Richardson,3,1,3,0,0,0,2,1,1,0,1,1,6,7,0,0,0,5,0,0,0,0,2,67.0,0,RB,0,0
17,GER,73,Timo Kastening,5,3,1,2,4,3,0,0,3,3,3,4,1,0,0,0,0,5,0,6,0,0,1,279.0,0,RW,1,0
18,SUI,9,Marvin Lier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,0,LW,0,0
19,SUI,27,Maximilian Gerbl,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0,RW,0,0
20,NED,11,Iso Sluijters,0,0,2,1,0,0,2,0,0,0,1,1,1,2,0,3,0,5,0,1,3,0,5,154.0,0,RB,0,0
21,AUT,45,Eric Damböck,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,23.0,0,LW,0,0
22,GRE,99,Christos Kederis,0,0,0,0,7,2,0,0,3,2,4,4,0,0,0,0,0,0,0,1,0,0,3,101.0,0,LW,0,0
23,ISL,22,Sigvaldi Bjørn Gudjonsson,0,0,2,1,12,9,0,0,7,1,2,2,0,0,0,0,0,4,0,5,0,0,3,268.0,0,RW,0,0
24,FRA,31,Dylan Nahi,0,0,3,1,9,5,0,1,6,1,3,3,1,1,0,0,0,2,0,6,0,0,2,273.0,0,LW,0,0
25,DEN,7,Emil Jakobsen,0,0,2,0,13,9,0,0,4,2,1,1,0,0,0,2,0,2,0,1,0,0,1,248.0,0,LW,1,0
26,GER,25,Kai Häfner,0,0,5,2,0,0,5,1,1,0,0,0,4,13,0,0,0,20,0,3,0,0,6,198.0,0,RB,0,0
27,POR,79,Martim Costa,0,0,14,6,0,0,11,2,4,0,0,0,25,19,0,0,0,15,0,1,1,0,9,200.0,0,LB,1,1
28,SUI,2,Andre Schmid,0,2,3,1,0,0,2,1,3,0,1,1,10,13,0,0,0,13,0,1,0,0,8,147.0,0,CB,0,0
29,MKD,11,Filip Taleski,0,0,1,2,0,0,0,0,1,0,0,0,5,7,0,1,0,3,0,0,0,0,3,103.0,0,LB,0,0
30,CRO,62,Marin Jelinic,0,0,3,0,7,4,0,0,9,0,3,3,0,0,0,1,0,4,0,1,1,0,2,331.0,0,LW,0,0
31,FAR,16,Nicholas Satchwell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.0,0,GK,0,0
32,CZE,4,Jan Hrdlicka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0,GK,0,0
33,SLO,90,Urban Lesjak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.0,0,GK,0,0
34,CZE,7,Tomas Piroch,0,0,0,1,0,0,7,1,1,0,0,0,2,4,0,0,0,4,0,0,0,0,4,134.0,0,RB,0,0
35,HUN,23,Dominik Mathe,3,1,3,0,0,1,1,3,0,0,0,1,7,4,0,1,0,8,0,1,0,0,8,52.0,0,RB,0,0
36,DEN,1,Niklas Landin Jacobsen,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,229.0,0,GK,0,0
37,FRA,2,Yanis Lenne,0,0,0,0,11,9,0,0,2,1,0,0,1,0,0,1,0,3,0,1,0,0,4,265.0,0,RW,0,0
38,CZE,31,Matej Klima,0,0,1,0,0,0,2,0,1,0,1,1,7,9,0,0,0,6,0,1,0,0,4,120.0,0,LB,0,0
39,ROU,8,Robert Mihai Militaru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,73.0,0,LB,0,0
40,NED,21,Martijn Kleijkers,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,30.0,0,LP,0,0
41,POR,16,Diogo Rêma Marques,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220.0,0,GK,0,0
42,MKD,1,Nikola Mitrevski,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.0,0,GK,0,0
43,GEO,7,Khazein Rustamov,0,0,1,0,1,2,0,0,2,1,1,1,0,0,0,0,0,0,0,2,0,0,1,147.0,0,LW,0,0
44,DEN,21,Henrik Møllgaard Jensen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,3,0,0,122.0,0,LB,0,0
45,SWE,30,Simon Möller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,45.0,0,GK,0,0
46,SUI,44,Mehdi Ben Romdhane,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,3,18.0,0,CB,0,0
47,NOR,30,Torbjørn Sittrup Bergerud,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,265.0,0,GK,0,0
48,ISL,9,Elvar Jónsson,0,0,2,2,0,0,6,2,0,0,0,0,3,8,0,2,0,9,0,4,4,0,11,263.0,0,LB,0,0
49,GRE,24,Petros Kandylas,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,1,3,0,1,56.0,0,CB,0,0
50,POR,26,Francisco Costa,6,2,8,5,3,2,6,1,1,1,0,0,6,16,0,0,0,13,0,1,0,0,7,262.0,0,RB,1,0
51,DEN,22,Mads Mensah Larsen,0,0,3,1,0,0,1,0,0,0,0,0,0,3,0,2,0,6,0,1,1,0,3,90.0,0,CB,0,0
52,GRE,8,Nikolaos Liapis,0,0,5,3,0,0,1,0,1,0,0,0,0,0,0,3,0,1,0,1,0,0,2,74.0,0,LP,0,0
53,FAR,17,Hákun West av Teigum,8,0,2,0,10,4,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,166.0,0,RW,0,0
54,BIH,16,Admir Ahmetasevic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.0,0,GK,0,0
55,POR,55,Joaquim Rebelo Vila Nova Nazaré,0,0,1,0,0,0,0,0,1,0,0,0,4,5,0,1,0,4,0,0,1,0,3,63.0,0,RB,0,0
56,NED,3,Ivar Stavast,0,0,5,3,0,0,1,1,0,0,1,1,2,4,0,0,0,8,0,0,0,0,7,138.0,0,CB,0,0
57,NOR,71,Alexandre Christoffersen Blonz,13,2,1,0,15,7,0,0,7,0,1,1,0,0,0,1,0,1,0,3,0,0,3,280.0,0,LW,1,0
58,SRB,13,Uros Borzas,0,0,1,1,0,0,1,0,0,0,0,0,5,1,0,0,0,5,0,0,0,0,3,50.0,0,LB,0,0
59,CZE,1,Tomas Mrkva,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,148.0,0,GK,0,0
60,CRO,16,Filip Ivic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,42.0,0,GK,0,0
61,DEN,19,Mathias Gidsel,0,0,13,2,0,1,12,4,13,1,8,8,8,4,0,1,0,35,0,5,0,0,19,434.0,0,RB,1,1
62,POL,44,Mikolaj Czaplinski,0,0,0,0,2,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,3,92.0,0,RW,0,0
63,GRE,13,Stefanos Michailidis,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,71.0,0,LP,0,0
64,MNE,90,Nemanja Grbovic,0,0,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,67.0,0,LP,0,0
65,MNE,17,Vasilije Kaludjerovic,0,0,1,1,0,0,0,1,1,0,0,0,3,4,0,1,0,2,0,1,0,0,7,69.0,0,LB,0,0
66,NOR,11,Petter Øverby,0,0,14,6,0,0,0,0,1,0,0,0,0,0,1,3,0,5,0,3,5,0,2,216.0,0,LP,0,0
67,NED,1,Bart Ravensbergen,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,5,0,0,0,0,0,345.0,0,GK,0,0
68,SLO,95,Matic Suholeznik,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,1,0,5,117.0,0,LP,0,0
70,CZE,39,Lukáš Morkovský,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,3.0,0,CB,0,0
71,AUT,72,Lukas Hutecek,0,0,2,3,0,0,8,0,0,0,3,0,16,27,0,1,0,22,0,3,1,0,4,396.0,0,CB,1,0
72,SUI,30,Joel Willecke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0,LP,0,0
73,MKD,33,Zharko Peshevski,0,0,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,68.0,0,LP,0,0
74,CRO,59,Luka Lovre Klarica,0,0,5,3,1,0,10,1,1,1,0,0,11,6,0,1,0,18,0,3,0,0,7,235.0,0,RB,0,0
75,ESP,62,Kauldi Odriozola Yeregui,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,31.0,0,RW,0,0
76,FRA,13,Nikola Karabatic,0,0,5,3,0,0,1,0,0,1,2,2,8,7,0,0,0,22,0,1,0,0,10,270.0,0,LB,1,0
77,HUN,7,Bendegúz Bóka,2,0,1,1,9,2,0,0,3,2,0,0,0,0,0,2,0,1,0,2,0,0,1,313.0,0,LW,0,0
78,SLO,19,Stas Jovicic Slatinsek,0,0,1,0,6,3,0,0,2,0,0,0,0,0,0,7,0,3,0,1,0,0,2,151.0,0,LW,0,0
79,SLO,51,Borut Mackovsek,1,1,10,1,0,0,1,0,2,0,2,2,14,17,0,2,0,16,0,4,5,0,8,336.0,0,LB,1,0
80,CRO,6,Mario Sostaric,11,1,1,1,5,0,0,0,6,1,0,0,2,0,0,0,0,2,0,1,0,0,1,258.0,0,RW,1,0
81,GER,14,Justus Fischer,0,0,4,4,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,2,0,0,55.0,0,LP,0,0
82,POR,21,Leonel Fernandes,0,0,4,2,8,4,0,0,2,1,0,0,0,0,0,2,0,5,0,3,1,0,2,287.0,0,LW,0,0
83,ROU,35,Iosif Andrei Buzle,0,0,1,0,0,0,0,1,0,0,0,0,9,12,0,1,0,7,0,0,0,0,9,111.0,0,LB,0,0
84,CZE,2,Jakub Hrstka,0,3,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,87.0,0,LW,0,0
85,MNE,26,Risto Vujacic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,RB,0,0
86,BIH,23,Dino Hamidovic,0,0,0,1,0,0,1,0,0,0,0,0,3,10,0,3,0,4,0,0,0,0,2,64.0,0,LB,0,0
87,HUN,61,László Bartucz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,194.0,0,GK,0,0
88,FAR,1,Pauli Jacobsen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,82.0,0,GK,0,0
89,AUT,6,Markus Mahr,0,0,0,2,0,0,5,2,0,0,0,0,0,0,0,0,0,8,0,0,0,0,3,40.0,0,LB,0,0
90,GER,34,Rune Dahmke,0,0,3,2,7,5,0,0,1,1,1,1,0,0,0,0,0,0,0,3,0,0,5,261.0,0,LW,0,0
91,ISL,1,Björgvin Pall Gustavsson,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,126.0,0,GK,0,0
92,DEN,11,Rasmus Lauge Schmidt,0,0,4,0,0,0,4,0,0,0,0,0,2,8,0,1,0,15,0,1,2,0,9,170.0,0,CB,0,0
93,DEN,18,Hans Lindberg,11,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.0,0,RW,0,0
94,ROU,19,Alexandru Mihai Tarita,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,22.0,0,RW,0,0
95,BIH,5,Mirko Herceg,0,0,2,0,0,0,0,1,0,0,0,0,4,15,0,1,0,3,0,0,0,0,8,115.0,0,LB,0,0
96,ISL,10,Gisli Thorgeir Kristjansson,0,0,2,1,0,0,4,2,0,0,0,0,2,4,0,1,0,11,0,0,0,0,8,86.0,0,CB,0,0
97,CRO,5,Domagoj Duvnjak,0,0,0,1,0,0,0,0,0,0,1,1,7,3,0,1,0,2,0,0,1,0,5,86.0,0,CB,0,0
98,CZE,C,Martin Galia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0,0,GK,0,0
99,AUT,34,Moritz Mittendorfer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,LB,0,0
100,POR,5,Gilberto Duarte,0,0,3,0,0,0,1,0,3,0,0,0,0,0,0,0,0,4,0,3,1,0,0,106.0,0,LB,0,0
101,POL,5,Michal Olejniczak,0,0,1,0,0,0,0,0,0,0,0,0,4,3,1,3,0,4,0,1,0,0,8,95.0,0,CB,0,0
102,POR,41,Gustavo Capdeville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169.0,0,GK,0,0
103,MKD,10,Marko Mitev,2,0,2,0,0,0,6,1,0,0,0,0,1,0,0,0,0,7,0,0,0,0,6,98.0,0,CB,0,0
104,ROU,3,Gabriel Cristian Ilie,0,0,1,0,3,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,51.0,0,LB,0,0
105,GER,18,Julian Köster,0,0,11,3,0,0,8,7,1,0,1,1,10,17,0,1,0,31,0,5,17,0,17,391.0,0,LB,1,0
106,MKD,19,Nenad Kosteski,0,0,1,0,10,2,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,147.0,0,RW,0,0
107,CZE,66,Štepán Zeman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,46.0,0,LP,0,0
108,MNE,5,Arsenije Dragasevic,0,0,2,0,0,0,1,0,0,0,0,0,3,1,0,1,0,0,0,1,1,0,1,39.0,0,LB,0,0
109,ISL,23,Kristján Örn Kristjánsson,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,5.0,0,RB,0,0
110,NOR,22,Tobias Schjølberg Grøndahl,4,3,2,2,1,0,1,0,0,0,0,0,7,2,0,0,0,10,0,0,0,0,5,72.0,0,CB,0,0
111,SWE,49,Karl Wallinius,0,0,0,0,0,0,0,1,0,0,0,0,4,3,0,2,0,1,0,0,1,0,4,51.0,0,LB,0,0
112,MKD,34,Tomislav Jagurinovski,0,0,1,1,0,0,1,0,2,0,1,1,2,3,0,0,0,10,0,2,0,0,11,112.0,0,RB,0,0
113,MKD,4,Martin Velkovski,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,6,66.0,0,RB,0,0
114,ESP,28,Aleix Gómez Abelló,8,0,0,1,4,1,0,0,2,1,10,2,0,0,0,0,0,0,0,2,0,0,2,138.0,0,RW,0,0
