,Team,No,Name,7mPGoals,7mPMissed,6mCGoals,6mCMissed,WingGoals,WingMissed,BTGoals,BTMissed,FBGoals,FBMissed,FTOGoals,FTOMissed,9mGoals,9mMissed,RC,2M,2+2,AS,R7,ST,BS,P7,TO,Time,scoring,Position,topk,top1
0,POR,6,Carolina Nunes Monteiro,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,111.0,0,LW,0,0
1,ESP,93,Nicole Alejandra Morales Claure,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,40.0,0,GK,0,0
2,POL,78,Paulina Uscinowicz,0,0,3,0,0,0,1,0,0,0,1,1,10,10,1,3,0,8,0,1,5,0,13,176.0,0,LB,0,0
3,FAR,1,Annika Fridheim Petersen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.0,0,GK,0,0
4,SVK,11,Olívia Šcípová,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,4,17.0,0,LB,0,0
5,ESP,19,Ester Somaza Bosch,0,0,1,0,0,0,2,0,1,0,1,2,3,0,0,0,0,4,0,0,3,0,3,52.0,0,LB,0,0
6,SRB,15,Andjela Janjusevic,8,3,5,3,0,0,4,1,2,0,0,0,2,3,0,2,0,10,0,0,0,0,14,163.0,0,RB,0,0
7,FRA,26,Pauletta Foppa,0,0,16,7,0,0,3,1,3,1,1,2,0,0,0,0,0,21,0,8,3,0,7,329.0,0,LP,1,0
8,UKR,10,Iryna Prokopiak,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,95.0,0,LP,0,0
9,GER,27,Julia Maidhof,1,1,2,1,3,2,4,3,5,0,0,0,3,0,0,3,0,4,0,1,1,0,2,175.0,0,RB,0,0
10,MKD,19,Iva Mladenovska,0,0,1,0,0,0,1,0,0,0,0,0,1,3,0,2,0,0,0,1,0,0,3,42.0,0,RB,0,0
11,TUR,47,Büsra Isikhan,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.0,0,LP,0,0
