,7mPGoals,7mPGoals,7mPGoals,7mPGoals,7mPGoals,7mPMissed,7mPMissed,7mPMissed,7mPMissed,7mPMissed,6mCGoals,6mCGoals,6mCGoals,6mCGoals,6mCGoals,6mCMissed,6mCMissed,6mCMissed,6mCMissed,6mCMissed,WingGoals,WingGoals,WingGoals,WingGoals,WingGoals,WingMissed,WingMissed,WingMissed,WingMissed,WingMissed,BTGoals,BTGoals,BTGoals,BTGoals,BTGoals,BTMissed,BTMissed,BTMissed,BTMissed,BTMissed,FBGoals,FBGoals,FBGoals,FBGoals,FBGoals,FBMissed,FBMissed,FBMissed,FBMissed,FBMissed,FTOGoals,FTOGoals,FTOGoals,FTOGoals,FTOGoals,FTOMissed,FTOMissed,FTOMissed,FTOMissed,FTOMissed,9mGoals,9mGoals,9mGoals,9mGoals,9mGoals,9mMissed,9mMissed,9mMissed,9mMissed,9mMissed,RC,RC,RC,RC,RC,2M,2M,2M,2M,2M,2+2,2+2,2+2,2+2,2+2,AS,AS,AS,AS,AS,ST,ST,ST,ST,ST,BS,BS,BS,BS,BS,TO,TO,TO,TO,TO,Time,Time,Time,Time,Time
,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max
Cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.2444444444444445,4.167818022743684,0.0,0,26,0.4,0.9145291883606758,0.0,0,3,5.555555555555555,6.723620357149168,3.0,0,23,2.3777777777777778,2.6907998885840696,1.0,0,10,0.24444444444444444,1.0903618155864083,0.0,0,7,0.1111111111111111,0.48721015729737965,0.0,0,3,1.3555555555555556,1.6397831834998458,1.0,0,6,0.8,0.919486022435657,1.0,0,3,0.6888888888888889,0.9000561149733999,0.0,0,4,0.15555555555555556,0.47460775936822314,0.0,0,2,0.4222222222222222,0.9883155754958416,0.0,0,6,0.4,0.6179143806533247,0.0,0,2,3.8444444444444446,3.350410799477062,4.0,0,11,5.266666666666667,4.807191582316115,4.0,0,16,0.044444444444444446,0.2084090771399927,0.0,0,1,1.6222222222222222,2.1980248249992833,1.0,0,8,0.0,0.0,0.0,0,0,7.555555555555555,4.272297420887882,7.0,2,19,1.3777777777777778,1.2665071669913297,1.0,0,6,1.1777777777777778,2.0032801384557564,0.0,0,9,5.511111111111111,2.849419575842055,5.0,1,13,158.44444444444446,79.76914291639444,136.0,52.0,467.0
1,2.8333333333333335,4.108380201343088,0.0,0,10,1.5833333333333333,2.5030284687057627,0.0,0,7,11.083333333333334,10.41378748088176,9.0,2,37,4.833333333333333,2.8867513459481287,5.0,1,10,0.25,0.8660254037844386,0.0,0,3,0.16666666666666666,0.5773502691896258,0.0,0,2,3.3333333333333335,3.3120532860594154,3.0,0,9,0.75,1.0552897060221726,0.0,0,3,2.8333333333333335,2.2495790852081776,3.5,0,7,0.5833333333333334,0.6685579234215215,0.5,0,2,1.9166666666666667,1.928651593652148,2.0,0,5,2.1666666666666665,2.081665999466133,2.0,0,6,3.6666666666666665,4.119429204355498,2.5,0,14,6.75,5.801645534595414,7.0,0,17,0.25,0.621581560508061,0.0,0,2,2.75,2.70100991213556,2.0,0,8,0.0,0.0,0.0,0,0,12.333333333333334,3.6514837167011076,13.0,6,18,3.5833333333333335,2.6097137890209456,3.5,0,9,2.5,3.0600059417648784,1.0,0,9,7.25,4.9749371855331,7.0,1,19,287.5,75.00484832813991,261.5,187.0,419.0
2,0.03773584905660377,0.33539684510548284,0.0,0,3,0.018867924528301886,0.1364884245663414,0.0,0,1,0.5408805031446541,1.2864539543914368,0.0,0,7,0.2578616352201258,0.6676411952120275,0.0,0,3,0.1069182389937107,0.39922702162030055,0.0,0,2,0.031446540880503145,0.20810731310937716,0.0,0,2,0.10062893081761007,0.3592356258139119,0.0,0,2,0.025157232704402517,0.15709730656189647,0.0,0,1,0.08176100628930817,0.3175968597220541,0.0,0,2,0.006289308176100629,0.07930515857181442,0.0,0,1,0.09433962264150944,0.3863567714076135,0.0,0,3,0.06918238993710692,0.2545658218665783,0.0,0,1,0.1949685534591195,0.6312333459027175,0.0,0,5,0.27672955974842767,0.7018235712295146,0.0,0,3,0.018867924528301886,0.1364884245663414,0.0,0,1,0.27044025157232704,0.672097930168398,0.0,0,3,0.0,0.0,0.0,0,0,0.6540880503144654,1.096527438132681,0.0,0,7,0.08176100628930817,0.27486598481643304,0.0,0,1,0.15723270440251572,0.5221012947327629,0.0,0,3,0.48427672955974843,0.8256592756045125,0.0,0,4,55.119496855345915,60.85564625207671,34.0,0.0,303.0
3,7.214285714285714,7.717896997624033,3.5,0,21,2.4285714285714284,2.680823229310949,2.0,0,9,1.0714285714285714,0.9972489631508747,1.0,0,3,1.0714285714285714,1.328057326976612,1.0,0,5,10.714285714285714,3.6674990730127592,11.0,4,17,7.357142857142857,2.7625835972632813,7.0,3,12,0.14285714285714285,0.36313651960128146,0.0,0,1,0.07142857142857142,0.2672612419124244,0.0,0,1,6.5,2.653009901689313,6.5,3,12,1.3571428571428572,0.9287827316640651,1.0,0,3,1.6428571428571428,1.5984195491000024,1.0,0,5,1.1428571428571428,1.231455852429764,1.0,0,4,0.14285714285714285,0.36313651960128146,0.0,0,1,0.21428571428571427,0.4258153136263201,0.0,0,1,0.0,0.0,0.0,0,0,0.7857142857142857,0.9749612559222293,0.5,0,3,0.0,0.0,0.0,0,0,1.8571428571428572,1.561909228976012,2.0,0,5,2.0,2.1483446221182985,1.0,0,6,0.07142857142857142,0.2672612419124244,0.0,0,1,2.4285714285714284,1.3424596091494903,2.5,1,5,284.7857142857143,48.80286651642278,276.0,210.0,363.0
4,0.6,1.3498971154211057,0.0,0,4,0.4,1.2649110640673518,0.0,0,4,8.0,4.570436400267363,8.5,2,14,3.1,1.5238839267549946,3.0,1,6,0.2,0.4216370213557839,0.0,0,1,0.0,0.0,0.0,0,0,8.9,2.766867462592951,8.5,4,14,3.3,2.0027758514399734,3.0,0,7,1.7,1.8287822299126937,1.0,0,4,0.2,0.4216370213557839,0.0,0,1,2.1,2.685351208149711,1.5,0,9,1.2,1.2292725943057183,1.0,0,4,14.2,6.356099432828282,15.5,0,25,15.6,7.396695959082753,16.0,0,27,0.0,0.0,0.0,0,0,1.0,0.816496580927726,1.0,0,3,0.0,0.0,0.0,0,0,28.9,7.680422442085389,29.0,15,41,2.8,1.6865480854231356,2.0,1,6,2.5,5.190803834132479,1.0,0,17,13.5,5.461989869391312,14.0,4,21,307.7,63.76702387075418,307.5,200.0,396.0
5,2.4166666666666665,3.7753970901622784,0.0,0,11,0.4166666666666667,0.7755316082290383,0.0,0,3,1.6666666666666667,1.203858530857692,2.0,0,4,0.7083333333333334,0.9078961186825509,0.0,0,3,7.125,3.686786039946965,7.0,0,14,3.375,2.373998644737901,3.0,0,9,0.0,0.0,0.0,0,0,0.041666666666666664,0.2041241452319315,0.0,0,1,3.0416666666666665,1.944427191089776,3.0,0,9,0.6666666666666666,0.761386987626881,0.5,0,2,1.25,2.1918822564378218,0.5,0,10,0.9166666666666666,1.1000658741803748,1.0,0,4,0.20833333333333334,0.5882299658752715,0.0,0,2,0.08333333333333333,0.408248290463863,0.0,0,2,0.0,0.0,0.0,0,0,1.1666666666666667,1.522773975253762,1.0,0,6,0.0,0.0,0.0,0,0,1.1666666666666667,1.3726099121798927,1.0,0,5,1.6666666666666667,1.203858530857692,1.0,0,5,0.375,0.9237212077056678,0.0,0,4,1.5833333333333333,1.3805061033726997,1.5,0,5,230.79166666666666,70.10921862517,254.0,101.0,335.0
6,3.5,7.0,0.0,0,14,1.25,2.5,0.0,0,5,9.0,4.618802153517006,9.0,5,13,4.0,2.160246899469287,3.5,2,7,0.0,0.0,0.0,0,0,0.5,0.5773502691896257,0.5,0,1,8.5,2.3804761428476167,7.5,7,12,4.0,2.943920288775949,3.5,1,8,5.5,5.066228051190222,3.5,2,13,1.0,0.0,1.0,1,1,4.25,2.6299556396765835,3.5,2,8,4.75,2.362907813126304,4.0,3,8,16.0,9.93310961716756,13.0,8,30,14.75,8.220908303425682,15.5,4,24,0.0,0.0,0.0,0,0,2.0,2.0,1.0,1,5,0.0,0.0,0.0,0,0,35.5,13.203534880225574,34.0,21,53,3.75,1.5,4.0,2,5,1.5,1.9148542155126762,1.0,0,4,16.5,3.785938897200182,18.0,11,19,363.25,53.50000000000001,352.5,314.0,434.0
7,0.22093023255813954,0.8029528268423138,0.0,0,4,0.1511627906976744,0.5205752894740048,0.0,0,3,2.8488372093023258,4.520586744479513,1.0,0,21,1.255813953488372,1.4074260738009563,1.0,0,7,0.03488372093023256,0.23998403959698217,0.0,0,2,0.03488372093023256,0.18456144639815766,0.0,0,1,1.1162790697674418,1.6971852451921527,0.0,0,8,0.47674418604651164,0.77803287675955,0.0,0,3,0.3023255813953488,0.5753723590625356,0.0,0,2,0.023255813953488372,0.15159886590034527,0.0,0,1,0.37209302325581395,1.0851566612614807,0.0,0,8,0.18604651162790697,0.42040954561773647,0.0,0,2,1.8837209302325582,2.246139719352046,1.0,0,8,2.686046511627907,3.053490299571283,2.0,0,15,0.05813953488372093,0.23537960143467365,0.0,0,1,1.3488372093023255,1.6289111618462853,1.0,0,8,0.0,0.0,0.0,0,0,3.186046511627907,2.246626898561626,3.0,0,10,0.47674418604651164,0.7930098165114018,0.0,0,4,0.686046511627907,1.374230290718723,0.0,0,8,2.7674418604651163,2.106987917576967,2.0,0,9,84.73255813953489,38.2762172876255,75.0,26.0,220.0
