Name,Team,No,Position,7mPGoals,7mPMissed,6mCGoals,6mCMissed,WingGoals,WingMissed,BTGoals,BTMissed,FBGoals,FBMissed,FTOGoals,FTOMissed,9mGoals,9mMissed,RC,2M,2+2,AS,ST,BS,TO,Time,Cluster
Lukas Sandell,SWE,33,RB,0,0,5,1,0,0,5,2,4,0,0,0,11,8,0,6,0,17,1,1,10,246.0,2
Rui Silva,POR,14,CB,0,0,3,3,0,0,1,1,1,0,0,0,3,2,0,0,0,19,0,0,6,141.0,2
Melvyn Richardson,FRA,9,RB,3,1,3,0,0,0,2,1,1,0,1,1,6,7,0,0,0,5,0,0,2,67.0,2
Kai Häfner,GER,25,RB,0,0,5,2,0,0,5,1,1,0,0,0,4,13,0,0,0,20,3,0,6,198.0,2
Andre Schmid,SUI,2,CB,0,2,3,1,0,0,2,1,3,0,1,1,10,13,0,0,0,13,1,0,8,147.0,2
Tomas Piroch,CZE,7,RB,0,0,0,1,0,0,7,1,1,0,0,0,2,4,0,0,0,4,0,0,4,134.0,2
Dominik Mathe,HUN,23,RB,3,1,3,0,0,1,1,3,0,0,0,1,7,4,0,1,0,8,1,0,8,52.0,2
Matej Klima,CZE,31,LB,0,0,1,0,0,0,2,0,1,0,1,1,7,9,0,0,0,6,1,0,4,120.0,2
Elvar Jónsson,ISL,9,LB,0,0,2,2,0,0,6,2,0,0,0,0,3,8,0,2,0,9,4,4,11,263.0,2
Francisco Costa,POR,26,RB,6,2,8,5,3,2,6,1,1,1,0,0,6,16,0,0,0,13,1,0,7,262.0,2
Ivar Stavast,NED,3,CB,0,0,5,3,0,0,1,1,0,0,1,1,2,4,0,0,0,8,0,0,7,138.0,2
Lukas Hutecek,AUT,72,CB,0,0,2,3,0,0,8,0,0,0,3,0,16,27,0,1,0,22,3,1,4,396.0,2
Luka Lovre Klarica,CRO,59,RB,0,0,5,3,1,0,10,1,1,1,0,0,11,6,0,1,0,18,3,0,7,235.0,2
Nikola Karabatic,FRA,13,LB,0,0,5,3,0,0,1,0,0,1,2,2,8,7,0,0,0,22,1,0,10,270.0,2
Borut Mackovsek,SLO,51,LB,1,1,10,1,0,0,1,0,2,0,2,2,14,17,0,2,0,16,4,5,8,336.0,2
Iosif Andrei Buzle,ROU,35,LB,0,0,1,0,0,0,0,1,0,0,0,0,9,12,0,1,0,7,0,0,9,111.0,2
Rasmus Lauge Schmidt,DEN,11,CB,0,0,4,0,0,0,4,0,0,0,0,0,2,8,0,1,0,15,1,2,9,170.0,2
