,7mPGoals,7mPGoals,7mPGoals,7mPGoals,7mPGoals,7mPMissed,7mPMissed,7mPMissed,7mPMissed,7mPMissed,6mCGoals,6mCGoals,6mCGoals,6mCGoals,6mCGoals,6mCMissed,6mCMissed,6mCMissed,6mCMissed,6mCMissed,WingGoals,WingGoals,WingGoals,WingGoals,WingGoals,WingMissed,WingMissed,WingMissed,WingMissed,WingMissed,BTGoals,BTGoals,BTGoals,BTGoals,BTGoals,BTMissed,BTMissed,BTMissed,BTMissed,BTMissed,FBGoals,FBGoals,FBGoals,FBGoals,FBGoals,FBMissed,FBMissed,FBMissed,FBMissed,FBMissed,FTOGoals,FTOGoals,FTOGoals,FTOGoals,FTOGoals,FTOMissed,FTOMissed,FTOMissed,FTOMissed,FTOMissed,9mGoals,9mGoals,9mGoals,9mGoals,9mGoals,9mMissed,9mMissed,9mMissed,9mMissed,9mMissed,RC,RC,RC,RC,RC,2M,2M,2M,2M,2M,2+2,2+2,2+2,2+2,2+2,AS,AS,AS,AS,AS,ST,ST,ST,ST,ST,BS,BS,BS,BS,BS,TO,TO,TO,TO,TO,Time,Time,Time,Time,Time
,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max
Cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.3968253968253968,1.0245326635590672,0.0,0,4,0.25396825396825395,0.6712591434651837,0.0,0,3,1.5555555555555556,1.663437732410124,1.0,0,8,1.126984126984127,1.2762351827462943,1.0,0,6,0.09523809523809523,0.38996632254451663,0.0,0,2,0.047619047619047616,0.2146693953705459,0.0,0,1,1.9841269841269842,1.9301684991802799,1.0,0,8,0.9365079365079365,0.9816545590599031,1.0,0,3,0.3968253968253968,0.583086408128845,0.0,0,2,0.06349206349206349,0.30443050337902866,0.0,0,2,0.2698412698412698,0.601244655434611,0.0,0,3,0.25396825396825395,0.537864773995255,0.0,0,2,3.9682539682539684,2.741369177385247,4.0,0,10,5.73015873015873,3.9927609867081957,5.0,0,16,0.0,0.0,0.0,0,0,0.5396825396825397,0.7997055269607123,0.0,0,3,0.0,0.0,0.0,0,0,6.174603174603175,4.1524951012368705,5.0,0,19,0.6031746031746031,1.0401563551772233,0.0,0,6,0.20634920634920634,0.5724517209881225,0.0,0,3,4.968253968253968,2.90698965214629,4.0,0,13,93.22222222222223,40.12257205776401,93.0,26.0,237.0
1,0.15706806282722513,1.0189983681490555,0.0,0,11,0.06282722513089005,0.31826894699815156,0.0,0,3,0.5706806282722513,1.3034282963710186,0.0,0,7,0.2670157068062827,0.6463753144423283,0.0,0,3,0.17801047120418848,0.57099932703001,0.0,0,4,0.16230366492146597,0.6239457904398027,0.0,0,5,0.17277486910994763,0.5296395463419672,0.0,0,4,0.04712041884816754,0.2124532918371829,0.0,0,1,0.11518324607329843,0.39380711673548097,0.0,0,3,0.010471204188481676,0.10205926017510447,0.0,0,1,0.16230366492146597,0.5329589022737244,0.0,0,4,0.13089005235602094,0.3820150774862679,0.0,0,2,0.2931937172774869,0.8447396105573184,0.0,0,5,0.47643979057591623,0.9990626634832627,0.0,0,5,0.0,0.0,0.0,0,0,0.25654450261780104,0.6506244748083333,0.0,0,3,0.0,0.0,0.0,0,0,0.9057591623036649,1.4623407064333287,0.0,0,7,0.17801047120418848,0.5426428697590184,0.0,0,4,0.14659685863874344,0.46957588904140657,0.0,0,3,0.6178010471204188,0.9976273865099571,0.0,0,6,65.61780104712042,73.08168103230504,45.0,0.0,421.0
2,5.9411764705882355,7.512244906112404,2.0,0,21,2.0,2.598076211353316,1.0,0,9,1.1764705882352942,1.0744355563298724,1.0,0,3,0.8823529411764706,1.2689736473414486,1.0,0,5,10.294117647058824,3.5313720046596786,11.0,4,17,7.352941176470588,2.6912166502947192,7.0,3,12,0.11764705882352941,0.3321055820775357,0.0,0,1,0.058823529411764705,0.24253562503633297,0.0,0,1,6.294117647058823,2.733237683644457,6.0,2,12,1.1764705882352942,0.951005659660279,1.0,0,3,1.588235294117647,1.5434872662825796,1.0,0,5,1.1764705882352942,1.2366938848016849,1.0,0,4,0.17647058823529413,0.3929526239966879,0.0,0,1,0.17647058823529413,0.3929526239966879,0.0,0,1,0.0,0.0,0.0,0,0,0.7647058823529411,0.9034248560828042,1.0,0,3,0.0,0.0,0.0,0,0,2.0588235294117645,1.519481335657587,2.0,0,5,2.0588235294117645,2.105664628902657,1.0,0,6,0.11764705882352941,0.3321055820775357,0.0,0,1,2.411764705882353,1.325651892910228,2.0,1,5,285.4117647058824,45.91576366501135,273.0,210.0,363.0
3,0.2558139534883721,1.2168073615156838,0.0,0,7,0.06976744186046512,0.3377339638580937,0.0,0,2,4.953488372093023,5.631347163411395,3.0,0,21,1.5813953488372092,1.6652263987294553,1.0,0,7,0.023255813953488372,0.15249857033260464,0.0,0,1,0.09302325581395349,0.47878583980593153,0.0,0,3,0.18604651162790697,0.45017530730702027,0.0,0,2,0.11627906976744186,0.3243530062242882,0.0,0,1,0.46511627906976744,0.766837575441915,0.0,0,2,0.09302325581395349,0.366057079101847,0.0,0,2,0.3953488372093023,1.3118423047600423,0.0,0,8,0.16279069767441862,0.37354368381881425,0.0,0,1,0.5348837209302325,1.2601745383515868,0.0,0,4,0.5116279069767442,0.9849363775260241,0.0,0,3,0.20930232558139536,0.41162509149327114,0.0,0,1,2.5813953488372094,1.9546350059907651,2.0,0,8,0.0,0.0,0.0,0,0,2.255813953488372,2.012970125577459,2.0,0,10,0.7906976744186046,0.9894235824310301,1.0,0,4,1.558139534883721,1.8683112514908746,1.0,0,8,1.930232558139535,1.9073210936160756,2.0,0,8,116.11627906976744,55.22473966927606,106.0,19.0,266.0
4,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,17.5625,9.135781302110948,18.0,2,37,6.375,2.629955639676583,6.5,3,11,0.125,0.3415650255319866,0.0,0,1,0.0,0.0,0.0,0,0,0.1875,0.5439056290693574,0.0,0,2,0.125,0.3415650255319866,0.0,0,1,1.8125,1.7211914478058505,1.5,0,5,0.375,0.6191391873668904,0.0,0,2,1.375,2.1563858652847823,0.0,0,6,1.25,1.983263304085802,0.0,0,6,0.25,0.5773502691896257,0.0,0,2,0.5625,1.5041608956491324,0.0,0,6,0.375,0.6191391873668903,0.0,0,2,4.4375,2.1592822881689187,4.0,1,8,0.0,0.0,0.0,0,0,6.0625,3.567795771434607,5.0,2,13,2.875,2.4186773244895647,2.5,0,9,3.6875,2.798064807445794,3.0,0,9,3.3125,1.8874586088176875,3.0,1,7,259.4375,74.31730955840638,236.0,152.0,419.0
5,0.5294117647058824,1.6187405152200809,0.0,0,7,0.2647058823529412,0.6183469424008424,0.0,0,2,4.735294117647059,3.058112148184471,4.5,1,14,3.0,2.256304299271065,3.0,0,10,0.17647058823529413,0.575804482562473,0.0,0,3,0.08823529411764706,0.3788057036804223,0.0,0,2,5.470588235294118,2.5847489077705466,5.5,1,11,1.3235294117647058,1.0066622988655227,1.0,0,3,1.3529411764705883,1.6308085546407594,1.0,0,7,0.11764705882352941,0.32703497008386434,0.0,0,1,0.5,1.0801234497346435,0.0,0,5,0.4411764705882353,0.6601733689004334,0.0,0,2,8.617647058823529,4.960539473853399,8.0,2,25,11.705882352941176,5.379700407140553,10.5,2,27,0.029411764705882353,0.17149858514250885,0.0,0,1,1.6176470588235294,1.7755017367246644,1.0,0,6,0.0,0.0,0.0,0,0,15.735294117647058,6.096739434243131,15.0,7,34,1.588235294117647,1.4998514483779473,1.0,0,5,0.9117647058823529,1.5048939771136507,0.0,0,5,9.264705882352942,3.2409204035873187,9.0,4,19,221.8235294117647,64.18886460034113,219.5,111.0,396.0
6,0.2222222222222222,0.6666666666666667,0.0,0,2,0.0,0.0,0.0,0,0,8.222222222222221,3.7675515184857717,8.0,4,14,3.3333333333333335,1.8708286933869707,4.0,1,7,0.2222222222222222,0.44095855184409843,0.0,0,1,0.1111111111111111,0.33333333333333337,0.0,0,1,8.555555555555555,3.1269438398822866,7.0,4,14,4.444444444444445,2.0069324297987157,4.0,2,8,3.5555555555555554,3.8441875315569325,3.0,0,13,0.5555555555555556,0.5270462766947299,1.0,0,1,3.4444444444444446,3.1269438398822866,3.0,0,9,2.7777777777777777,2.5385910352879693,2.0,0,8,14.0,8.077747210701755,15.0,0,30,12.444444444444445,6.802777210652851,15.0,0,22,0.0,0.0,0.0,0,0,1.4444444444444444,1.3333333333333333,1.0,1,5,0.0,0.0,0.0,0,0,34.333333333333336,9.151502608861563,35.0,21,53,3.6666666666666665,1.6583123951777,4.0,2,6,3.2222222222222223,5.3567195599960655,2.0,0,17,16.0,3.6742346141747673,17.0,11,21,344.44444444444446,48.00289343131075,339.0,284.0,434.0
7,10.75,6.777062153217383,8.5,4,26,4.25,1.5811388300841898,3.5,3,7,5.375,4.438065859293728,4.0,1,13,2.0,2.0,1.5,0,6,0.0,0.0,0.0,0,0,0.125,0.3535533905932738,0.0,0,1,5.125,3.758324094593227,5.5,1,10,1.625,1.1877349391654208,1.5,0,4,0.875,1.6420805617960927,0.0,0,4,0.25,0.4629100498862757,0.0,0,1,1.625,1.1877349391654208,2.0,0,3,1.75,1.2817398889233114,2.0,0,3,7.25,5.035587637718447,5.0,2,17,12.125,6.998724373565718,9.5,3,24,0.0,0.0,0.0,0,0,0.75,0.8864052604279183,0.5,0,2,0.0,0.0,0.0,0,0,15.5,9.227288721117224,13.5,3,33,1.25,1.0350983390135313,1.0,0,3,0.125,0.3535533905932738,0.0,0,1,9.75,5.70087712549569,7.5,4,19,188.625,85.42153876929568,194.5,72.0,331.0
