,7mPGoals,7mPGoals,7mPGoals,7mPGoals,7mPGoals,7mPMissed,7mPMissed,7mPMissed,7mPMissed,7mPMissed,6mCGoals,6mCGoals,6mCGoals,6mCGoals,6mCGoals,6mCMissed,6mCMissed,6mCMissed,6mCMissed,6mCMissed,WingGoals,WingGoals,WingGoals,WingGoals,WingGoals,WingMissed,WingMissed,WingMissed,WingMissed,WingMissed,BTGoals,BTGoals,BTGoals,BTGoals,BTGoals,BTMissed,BTMissed,BTMissed,BTMissed,BTMissed,FBGoals,FBGoals,FBGoals,FBGoals,FBGoals,FBMissed,FBMissed,FBMissed,FBMissed,FBMissed,FTOGoals,FTOGoals,FTOGoals,FTOGoals,FTOGoals,FTOMissed,FTOMissed,FTOMissed,FTOMissed,FTOMissed,9mGoals,9mGoals,9mGoals,9mGoals,9mGoals,9mMissed,9mMissed,9mMissed,9mMissed,9mMissed,RC,RC,RC,RC,RC,2M,2M,2M,2M,2M,2+2,2+2,2+2,2+2,2+2,AS,AS,AS,AS,AS,ST,ST,ST,ST,ST,BS,BS,BS,BS,BS,TO,TO,TO,TO,TO,Time,Time,Time,Time,Time
,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max
Cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.975609756097561,4.740716216343523,0.0,0,26,0.7804878048780488,1.423239177403981,0.0,0,7,3.951219512195122,2.479427549982003,3.0,0,10,2.4878048780487805,2.2707041993565804,2.0,0,10,0.14634146341463414,0.5273033097637495,0.0,0,3,0.0975609756097561,0.3744915251898558,0.0,0,2,4.365853658536586,2.4975597846795936,5.0,1,10,1.3902439024390243,0.9969465577574308,1.0,0,3,1.0975609756097562,1.5621280044986787,1.0,0,7,0.14634146341463414,0.4219582686567534,0.0,0,2,0.5121951219512195,1.0276660746446824,0.0,0,5,0.5609756097560976,0.8077369772334582,0.0,0,3,7.2682926829268295,3.701515839787143,6.0,2,17,10.024390243902438,4.321387536880075,9.0,2,21,0.024390243902439025,0.15617376188860607,0.0,0,1,1.3170731707317074,1.7093715861427539,1.0,0,6,0.0,0.0,0.0,0,0,13.341463414634147,5.111798881497397,13.0,3,24,1.3658536585365855,1.4275170324899036,1.0,0,5,0.8048780487804879,1.45291968455111,0.0,0,5,8.536585365853659,2.933407242232228,8.0,4,16,190.390243902439,70.87943215375687,191.0,52.0,336.0
1,7.071428571428571,7.839390534731891,3.5,0,21,2.2142857142857144,2.7506243047595698,1.5,0,9,1.2857142857142858,1.0690449676496976,1.0,0,3,1.0714285714285714,1.328057326976612,1.0,0,5,10.571428571428571,3.776736191970027,11.0,4,17,7.142857142857143,2.9050921568102517,6.5,3,12,0.14285714285714285,0.36313651960128146,0.0,0,1,0.07142857142857142,0.2672612419124244,0.0,0,1,6.857142857142857,2.6269942712345036,7.0,3,12,1.3571428571428572,0.9287827316640651,1.0,0,3,1.5714285714285714,1.5045717874984441,1.0,0,5,1.3571428571428572,1.2774459408789602,1.0,0,4,0.14285714285714285,0.36313651960128146,0.0,0,1,0.14285714285714285,0.36313651960128146,0.0,0,1,0.0,0.0,0.0,0,0,0.6428571428571429,0.744946343668492,0.5,0,2,0.0,0.0,0.0,0,0,2.142857142857143,1.561909228976012,2.0,0,5,1.9285714285714286,2.1649048909393653,1.0,0,6,0.14285714285714285,0.36313651960128146,0.0,0,1,2.4285714285714284,1.3424596091494903,2.5,1,5,282.5,45.49513921626894,276.0,210.0,357.0
2,2.0,4.016632088371218,0.0,0,14,1.0,2.033060090930254,0.0,0,6,8.125,4.161329915623931,8.0,2,14,3.625,1.746424919657298,3.5,1,7,0.125,0.3415650255319866,0.0,0,1,0.125,0.3415650255319866,0.0,0,1,8.6875,2.441823089414956,8.0,4,14,3.1875,2.2573952541221782,3.0,0,8,2.5625,3.2242570203588508,2.0,0,13,0.4375,0.5123475382979799,0.0,0,1,2.5625,2.657536453183662,2.0,0,9,2.125,2.187083293643233,1.5,0,8,13.375,7.649618726882188,14.5,0,30,15.25,7.019021774198072,15.5,0,27,0.0,0.0,0.0,0,0,1.3125,1.1954775893619531,1.0,0,5,0.0,0.0,0.0,0,0,30.1875,9.47430736254635,30.0,15,53,2.75,1.7701224063135672,2.0,0,6,1.9375,4.20267771783657,0.5,0,17,14.5625,4.898554208471448,16.0,4,21,313.75,65.76473218982953,312.0,200.0,434.0
3,0.07692307692307693,0.554700196225229,0.0,0,4,0.057692307692307696,0.30764516984328466,0.0,0,2,4.615384615384615,5.534752403034478,2.5,0,21,1.6538461538461537,1.7476551841063892,1.0,0,7,0.0,0.0,0.0,0,0,0.038461538461538464,0.19418390934515434,0.0,0,1,0.19230769230769232,0.44450728565288067,0.0,0,2,0.17307692307692307,0.4302828001262246,0.0,0,2,0.5192307692307693,0.9391357022656444,0.0,0,4,0.09615384615384616,0.3575304942220209,0.0,0,2,0.4423076923076923,1.274385073372168,0.0,0,8,0.23076923076923078,0.4692666207899641,0.0,0,2,0.5961538461538461,1.2873382690670407,0.0,0,4,0.5961538461538461,1.0339267502521046,0.0,0,3,0.15384615384615385,0.3643213074786545,0.0,0,1,2.1538461538461537,1.8722390431488174,2.0,0,8,0.0,0.0,0.0,0,0,2.5,2.1828206253269964,2.0,0,10,0.9807692307692307,1.290848400378674,1.0,0,6,1.3846153846153846,1.728127697644626,1.0,0,8,1.9423076923076923,1.8620404319283046,2.0,0,8,114.88461538461539,59.938744498079316,104.5,19.0,345.0
4,2.3076923076923075,3.652607077354265,0.0,0,11,0.5,0.9055385138137416,0.0,0,3,1.5384615384615385,1.1740790171285485,1.5,0,4,0.6923076923076923,0.8840466399113008,0.0,0,3,7.153846153846154,3.5630583233206576,7.0,0,14,3.4615384615384617,2.3871450602050848,3.0,0,9,0.038461538461538464,0.19611613513818402,0.0,0,1,0.038461538461538464,0.19611613513818404,0.0,0,1,2.769230769230769,1.4507292595847732,2.5,0,6,0.6153846153846154,0.7524319545007682,0.0,0,2,1.1923076923076923,2.1729101365538477,0.0,0,10,0.7307692307692307,1.0023050357128733,0.0,0,4,0.5384615384615384,1.8161667154921484,0.0,0,9,0.2692307692307692,0.8744228866031495,0.0,0,4,0.0,0.0,0.0,0,0,1.6153846153846154,2.0015378702772137,1.0,0,7,0.0,0.0,0.0,0,0,1.2692307692307692,1.5889038311412635,1.0,0,6,1.6153846153846154,1.2025613689761725,1.0,0,5,0.38461538461538464,0.9413574486632834,0.0,0,4,1.7692307692307692,1.5825976698502324,2.0,0,6,238.03846153846155,85.15514348257808,254.0,101.0,467.0
5,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,15.666666666666666,8.348471099367218,18.0,2,29,6.166666666666667,2.9180732539042804,6.0,3,11,0.16666666666666666,0.38924947208076144,0.0,0,1,0.0,0.0,0.0,0,0,0.25,0.621581560508061,0.0,0,2,0.16666666666666666,0.3892494720807615,0.0,0,1,1.4166666666666667,1.4433756729740643,1.0,0,4,0.3333333333333333,0.4923659639173309,0.0,0,1,1.0,2.1320071635561044,0.0,0,6,0.6666666666666666,1.4354811251305466,0.0,0,5,0.25,0.621581560508061,0.0,0,2,0.5833333333333334,1.7298624923456323,0.0,0,6,0.25,0.45226701686664544,0.0,0,1,4.166666666666667,1.8504708655481243,4.0,2,8,0.0,0.0,0.0,0,0,5.666666666666667,3.446561747421317,4.5,2,11,2.4166666666666665,1.9752253419585197,2.0,0,6,3.6666666666666665,3.0550504633038935,3.0,0,9,3.1666666666666665,1.8504708655481241,2.5,1,7,248.16666666666666,56.60522515767881,232.5,190.0,405.0
6,0.06432748538011696,0.5855736135007668,0.0,0,7,0.023391812865497075,0.15158831144870852,0.0,0,1,0.5263157894736842,1.2984868545561439,0.0,0,7,0.24561403508771928,0.6309852730933433,0.0,0,3,0.16374269005847952,0.5499476161062583,0.0,0,4,0.09941520467836257,0.4152245425172197,0.0,0,3,0.11695906432748537,0.37307008262484354,0.0,0,2,0.03508771929824561,0.18454193982447337,0.0,0,1,0.08187134502923976,0.29559313421930494,0.0,0,2,0.005847953216374269,0.07647191129018725,0.0,0,1,0.12280701754385964,0.4367059357318211,0.0,0,3,0.11695906432748537,0.3569545918843945,0.0,0,2,0.2046783625730994,0.6500509360582788,0.0,0,5,0.3391812865497076,0.7605241434854105,0.0,0,3,0.0,0.0,0.0,0,0,0.2573099415204678,0.6627853994500137,0.0,0,3,0.0,0.0,0.0,0,0,0.7368421052631579,1.2489004451842525,0.0,0,7,0.12280701754385964,0.37901616162637947,0.0,0,3,0.11695906432748537,0.4033741418514745,0.0,0,3,0.543859649122807,0.9217025570731431,0.0,0,6,63.099415204678365,73.70423046129237,39.0,0.0,421.0
7,0.4126984126984127,1.0416321038812837,0.0,0,4,0.23809523809523808,0.6651287945684319,0.0,0,3,1.4285714285714286,1.6724936541109732,1.0,0,8,0.9206349206349206,1.0364577905848873,1.0,0,4,0.09523809523809523,0.38996632254451663,0.0,0,2,0.031746031746031744,0.17673143177130224,0.0,0,1,1.9365079365079365,1.9249886122245137,1.0,0,8,0.7619047619047619,0.9107651110783744,1.0,0,3,0.3968253968253968,0.5830864081288452,0.0,0,2,0.015873015873015872,0.12598815766974242,0.0,0,1,0.2698412698412698,0.601244655434611,0.0,0,3,0.20634920634920634,0.4805484151611324,0.0,0,2,3.6507936507936507,2.658878796924228,3.0,0,10,5.365079365079365,3.8323815020781216,4.0,0,16,0.0,0.0,0.0,0,0,0.5238095238095238,0.800345547492897,0.0,0,3,0.0,0.0,0.0,0,0,5.4603174603174605,3.622623344703869,5.0,0,19,0.47619047619047616,0.7799326450890334,0.0,0,3,0.15873015873015872,0.4474425249214014,0.0,0,2,4.444444444444445,2.6807424211056556,4.0,0,13,85.7936507936508,36.32121868521642,82.0,26.0,222.0
