Name,Team,No,Position,7mPGoals,7mPMissed,6mCGoals,6mCMissed,WingGoals,WingMissed,BTGoals,BTMissed,FBGoals,FBMissed,FTOGoals,FTOMissed,9mGoals,9mMissed,RC,2M,2+2,AS,ST,BS,TO,Time,Cluster
Iso Sluijters,NED,11,RB,0,0,2,1,0,0,2,0,0,0,1,1,1,2,0,3,0,5,1,3,5,154.0,0
Nikolaos Liapis,GRE,8,LP,0,0,5,3,0,0,1,0,1,0,0,0,0,0,0,3,0,1,1,0,2,74.0,0
Nemanja Grbovic,MNE,90,LP,0,0,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,67.0,0
Matic Suholeznik,SLO,95,LP,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,1,5,117.0,0
Zharko Peshevski,MKD,33,LP,0,0,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,68.0,0
Michal Olejniczak,POL,5,CB,0,0,1,0,0,0,0,0,0,0,0,0,4,3,1,3,0,4,1,0,8,95.0,0
Veron Nacinovic,CRO,21,LP,0,0,18,6,0,0,0,0,0,0,0,0,1,0,0,5,0,4,1,4,5,232.0,0
Alexandre Cavalcanti,POR,24,LB,0,0,1,2,0,0,0,1,0,0,0,0,4,2,0,7,0,10,4,1,6,223.0,0
Tobias Wagner,AUT,55,LP,0,0,23,10,1,0,0,0,0,0,6,1,0,1,0,2,0,2,0,0,2,212.0,0
Patrik Ligetvári,HUN,11,LB,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,2,0,0,1,5,1,142.0,0
Mijajlo Marsenic,SRB,93,LP,0,0,4,4,0,0,1,0,0,0,0,0,0,0,1,5,0,4,1,1,1,104.0,0
Liviu Emil Caba,ROU,21,CB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,19.0,0
Karl Konan,FRA,34,LP,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,2,0,1,3,8,0,139.0,0
Nebojsa Simic,MNE,16,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,138.0,0
Arnar Freyr Arnarsson,ISL,21,LP,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,95.0,0
Oscar Bergendahl,SWE,32,LP,0,0,10,3,0,0,0,1,1,1,0,0,0,0,0,7,0,5,3,2,4,229.0,0
Simon Hald Jensen,DEN,34,LP,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,4,2,175.0,0
Nicusor Andrei Negru,ROU,24,LW,7,0,0,0,1,3,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,70.0,0
Luís Frade,POR,82,LP,0,0,23,10,0,0,0,1,2,0,0,0,0,0,0,3,0,8,1,1,4,262.0,0
Adin Faljic,BIH,15,LP,0,0,7,2,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,2,107.0,0
Robin Schoenaker,NED,7,LB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,1,4,0,220.0,0
Amir Muhovic,BIH,80,LP,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,54.0,0
Dominik Solak,CZE,34,LB,0,1,0,1,0,0,0,1,0,1,0,0,4,2,1,2,0,1,1,0,1,74.0,0
Vuk Lazovic,MNE,8,LP,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,2,2,101.0,0
Milan Lazarevski,MKD,36,LP,0,0,5,3,0,0,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,68.0,0
Nicolas Tournat,FRA,11,LP,0,0,16,4,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,60.0,0
Max Darj,SWE,5,LP,0,0,20,4,0,0,0,0,2,0,0,0,0,0,0,5,0,4,2,6,2,295.0,0
Jannik Kohlbacher,GER,80,LP,0,0,12,7,0,1,0,0,2,0,0,0,0,0,0,1,0,2,0,0,1,160.0,0
Lukas Lindhard Jørgensen,DEN,25,LP,0,0,16,7,0,0,0,0,4,0,0,0,0,0,0,1,0,3,1,1,3,152.0,0
Jorn Smits,NED,23,LB,0,0,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,3,21.0,0
Tim Claessens,NED,28,LP,0,0,2,3,0,0,0,0,1,0,1,1,0,0,0,4,0,1,0,0,1,38.0,0
Lukas Herburger,AUT,26,LP,0,0,3,0,0,0,0,1,2,2,3,0,0,0,0,6,0,0,2,4,0,228.0,0
Calin Dedu,ROU,23,LP,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.0,0
Michael Miskovez,AUT,97,RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,3,0,139.0,0
Lars Kooij,NED,15,LP,0,0,18,7,0,0,0,0,0,1,0,1,0,0,0,4,0,4,2,3,5,209.0,0
Blaz Blagotinsek,SLO,3,LP,0,0,12,2,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,2,2,186.0,0
Lukas Laube,SUI,23,LP,0,0,9,2,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,2,154.0,0
Tomislav Kusan,CRO,25,LP,0,0,8,1,0,0,0,0,0,0,1,1,0,1,0,3,0,1,1,4,1,135.0,0
Fábio Silva,POR,30,LP,0,0,6,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,46.0,0
Maciej Gebala,POL,28,LP,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,79.0,0
Ýmir Gíslason,ISL,11,LP,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,2,106.0,0
Vit Reichl,CZE,18,LP,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,56.0,0
Miklós Rosta,HUN,45,LP,4,2,18,2,0,0,0,0,0,0,1,1,0,0,0,2,0,3,0,0,2,82.0,0
Kristjan Horzen,SLO,27,LP,0,0,21,5,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,3,79.0,0
Magnus Gullerud,NOR,21,LP,0,0,19,7,0,0,0,0,1,0,1,1,0,0,0,4,0,2,2,3,2,190.0,0
Luka Karabatic,FRA,22,LP,0,0,4,2,0,0,0,0,0,0,0,0,2,0,0,4,0,4,2,5,3,266.0,0
Erekle Arsenashvili,GEO,18,LP,0,0,15,2,0,0,0,0,1,0,0,0,0,0,0,1,0,4,0,2,3,141.0,0
