,mean_abs_shap,mean_shap
9mMissed,0.028040279943575826,0.003071202703465454
9mGoals,0.025976541862172492,0.002980034770744377
AS,0.02425169769863537,-0.003984214180741801
TO,0.023346123949229962,-0.0006685556623315409
WingGoals,0.022013385731730332,0.003803110610728025
Time,0.0176388700067941,-0.0019553750531775397
BTGoals,0.017045505766233315,2.5898039558962915e-05
6mCGoals,0.01527557721147263,0.0005094359749697962
FBGoals,0.012378887233654413,0.0005009466481898238
WingMissed,0.010382558747855097,0.0024371230601155742
