,mean_abs_shap,mean_shap
Time,0.04133262732919436,0.008865237954892491
WingGoals,0.04030579225520532,0.0033866079300825234
6mCGoals,0.04020748411367312,-0.007993261520751773
2M,0.03483319777579267,-0.0068453450333338375
9mMissed,0.03332312637974539,-1.8688104364108253e-06
9mGoals,0.030611816062046073,0.0017994147037873262
6mCMissed,0.025460010402622104,-0.004412520520905561
WingMissed,0.022004779405204882,0.004225843239171019
TO,0.018748901241611524,-0.001736738181626378
FBGoals,0.018666647688545947,-0.0004005186236957609
