,mean_abs_shap,mean_shap
9mGoals,0.03991902903557425,0.00020246978928073776
9mMissed,0.03271776314715655,0.0008358532930683816
WingGoals,0.02127422277167943,0.004436632159250881
BS,0.013817699606449779,0.0005401004697578184
Time,0.013312775519507438,0.0010171749526415091
WingMissed,0.012721374414668382,0.0034557392920302106
6mCGoals,0.012494834180857457,0.00109358897094177
ST,0.012373486446851056,0.0016937903437759618
BTGoals,0.010737199222638976,0.0020981083361032576
AS,0.009602356862165642,0.0011598727097661904
