,mean_abs_shap,mean_shap
6mCGoals,0.0621487875189295,0.004225245641100666
9mMissed,0.0470675541836134,-0.003462763677521798
6mCMissed,0.04215278203406336,0.00586458630335824
9mGoals,0.0400227605366221,-0.002837792295765684
WingGoals,0.039884720906543325,0.0038620295075029246
2M,0.030616761009611325,0.005180730641633611
BTGoals,0.024283159555516607,-0.0008898261860974587
WingMissed,0.022966242755606044,0.0037390339520255063
BS,0.01764356404581704,0.0004861379389772756
AS,0.009416358741234391,-0.0001806737702730528
