,mean_abs_shap,mean_shap
WingGoals,0.054814434076716864,-0.006837569186094046
WingMissed,0.03664945934628086,-0.00892826311360866
9mMissed,0.023121911188782093,-0.0010166155859429565
9mGoals,0.02148176796407923,-0.00037131489800803754
6mCGoals,0.014072213929308899,-0.0002525776256812084
FBGoals,0.013022404737320015,0.00045861653935574373
Time,0.012153721508009198,-0.0028321896787266284
BTGoals,0.010903057394976835,0.0009945685249538301
6mCMissed,0.01077682801828429,-0.0017501033785188806
TO,0.008256739280789793,-0.0008537922052030477
