,mean_abs_shap,mean_shap
9mMissed,0.05222892361992981,0.0010680989088039745
9mGoals,0.04010865354591868,-0.0005706341003926529
BTGoals,0.030714750726286686,-0.0034348761975706334
6mCGoals,0.015086335509634263,0.0001749779644227282
Time,0.013894955468690412,-0.004066449779313233
WingGoals,0.013656281644485783,0.002622999464122158
AS,0.009863960394745065,0.0018238684918217756
TO,0.008031956806974033,0.0009621291933595306
ST,0.007947412496338934,-0.0004785703446876487
2M,0.006492130013744056,-0.0010467056360966
