,mean_abs_shap,mean_shap
WingGoals,0.08210677832489052,-0.011273810485592445
WingMissed,0.03756823954671523,-0.006057652729724384
2M,0.01809342042322122,-0.0012708036055009704
9mGoals,0.014039820813891659,-0.001202177969645925
6mCGoals,0.013707079667557489,0.002242590594998058
9mMissed,0.012493886510208746,-0.000493906831436537
AS,0.009013505440885142,-0.0001633178201983854
FBGoals,0.009002241140777238,-0.0007508143889616814
Time,0.007495119632131525,-0.0009334893150779728
TO,0.006974165476017274,0.00017454044679777905
